0.913603-0.000002j
0.279762+0.000000j
0.336879+1.695449j
0.107321+0.036092j
0.143829+0.000798j
0.336879-1.695449j
0.044789-0.000000j
0.144676-0.000798j
0.913595+0.000002j
0.107321-0.036092j
