-1.003615+0.002958j
-1.001600+0.000258j
-0.998402-0.000258j
-0.996389-0.002937j
-0.236309-2.171829j
-0.049513+0.455054j
0.193572-0.177406j
0.261457-0.221089j
2.230099+1.885780j
2.807715+2.573225j
