-1.012964+0.000591j
-1.004608+0.000060j
-0.995413-0.000060j
-0.987201-0.000576j
0.113812+0.905974j
0.136507-1.086636j
0.605201-0.065157j
0.736024-0.488809j
0.942816+0.626144j
1.633411+0.175856j
