-1.013881-0.000642j
-1.004696-0.000058j
-0.995326+0.000057j
-0.986309+0.000624j
0.230771-0.831684j
0.309779+1.116425j
0.595596+0.588331j
0.713982+0.133663j
0.849798-0.839432j
1.353172-0.253325j
