-1.006044-0.017488j,1.386293+0.000001j,1.386296-0.000001j,0.000000
-1.006062-0.017507j,1.386293+0.000001j,1.386296-0.000001j,0.000000
-1.006080-0.017526j,1.386293+0.000001j,1.386296-0.000001j,0.000000
-1.006097-0.017545j,1.386293+0.000001j,1.386296-0.000001j,0.000000
-1.006115-0.017563j,1.386293+0.000001j,1.386296-0.000001j,0.000000
-1.006132-0.017582j,1.386293+0.000001j,1.386296-0.000001j,0.000000
-1.006150-0.017601j,1.386293+0.000001j,1.386296-0.000001j,0.000000
-1.006167-0.017619j,1.386293+0.000001j,1.386296-0.000001j,0.000000
-1.006184-0.017638j,1.386293+0.000001j,1.386296-0.000001j,0.000000
-1.006201-0.017656j,1.386293+0.000001j,1.386296-0.000001j,0.000000
-1.006218-0.017674j,1.386293+0.000001j,1.386296-0.000001j,0.000000
-1.006235-0.017693j,1.386293+0.000001j,1.386296-0.000001j,0.000000
-1.006252-0.017711j,1.386293+0.000001j,1.386296-0.000001j,0.000000
-1.006268-0.017729j,1.386293+0.000001j,1.386296-0.000001j,0.000000
-1.006285-0.017747j,1.386293+0.000001j,1.386296-0.000001j,0.000000
-1.006301-0.017765j,1.386293+0.000002j,1.386296-0.000002j,0.000000
-1.006318-0.017783j,1.386293+0.000002j,1.386296-0.000002j,0.000000
-1.006334-0.017801j,1.386293+0.000002j,1.386296-0.000002j,0.000000
-1.006350-0.017819j,1.386293+0.000002j,1.386296-0.000002j,0.000000
-1.006366-0.017836j,1.386293+0.000002j,1.386296-0.000002j,0.000000
-1.006382-0.017854j,1.386293+0.000002j,1.386296-0.000002j,0.000000
-1.006398-0.017872j,1.386293+0.000002j,1.386296-0.000002j,0.000000
-1.006414-0.017889j,1.386293+0.000002j,1.386296-0.000002j,0.000000
-1.006430-0.017907j,1.386293+0.000002j,1.386296-0.000002j,0.000000
-1.006445-0.017924j,1.386293+0.000002j,1.386296-0.000002j,0.000000
-1.006461-0.017942j,1.386293+0.000002j,1.386296-0.000002j,0.000000
-1.006476-0.017959j,1.386293+0.000002j,1.386296-0.000002j,0.000000
-1.006492-0.017977j,1.386293+0.000002j,1.386296-0.000002j,0.000000
-1.006507-0.017994j,1.386293+0.000002j,1.386296-0.000002j,0.000000
-1.006522-0.018011j,1.386293+0.000002j,1.386296-0.000002j,0.000000
-1.006537-0.018028j,1.386293+0.000002j,1.386296-0.000002j,0.000000
-1.006552-0.018045j,1.386293+0.000002j,1.386296-0.000002j,0.000000
-1.006567-0.018062j,1.386293+0.000002j,1.386296-0.000002j,0.000000
-1.006582-0.018079j,1.386293+0.000002j,1.386296-0.000002j,0.000000
-1.006597-0.018096j,1.386293+0.000002j,1.386296-0.000002j,0.000000
