-0.985013+0.013303j,1.386296+0.000001j,1.386293-0.000001j,0.000000
-0.984987+0.013295j,1.386296+0.000001j,1.386293-0.000001j,0.000000
-0.984961+0.013286j,1.386296+0.000001j,1.386293-0.000001j,0.000000
-0.984935+0.013278j,1.386296+0.000001j,1.386293-0.000001j,0.000000
-0.984909+0.013269j,1.386296+0.000001j,1.386293-0.000001j,0.000000
-0.984883+0.013261j,1.386296+0.000001j,1.386293-0.000001j,0.000000
-0.984857+0.013253j,1.386296+0.000001j,1.386293-0.000001j,0.000000
-0.984832+0.013244j,1.386296+0.000001j,1.386293-0.000001j,0.000000
-0.984806+0.013236j,1.386296+0.000001j,1.386293-0.000001j,0.000000
-0.984781+0.013228j,1.386296+0.000001j,1.386293-0.000001j,0.000000
-0.984755+0.013220j,1.386296+0.000001j,1.386293-0.000001j,0.000000
-0.984730+0.013212j,1.386296+0.000001j,1.386293-0.000001j,0.000000
-0.984705+0.013204j,1.386296+0.000001j,1.386293-0.000001j,0.000000
-0.984680+0.013196j,1.386296+0.000001j,1.386293-0.000001j,0.000000
-0.984655+0.013188j,1.386296+0.000001j,1.386293-0.000001j,0.000000
-0.984630+0.013181j,1.386296+0.000001j,1.386293-0.000001j,0.000000
-0.984605+0.013173j,1.386296+0.000001j,1.386293-0.000001j,0.000000
-0.984581+0.013165j,1.386296+0.000001j,1.386293-0.000001j,0.000000
-0.984556+0.013158j,1.386296+0.000001j,1.386293-0.000001j,0.000000
-0.984532+0.013150j,1.386296+0.000001j,1.386293-0.000001j,0.000000
-0.984507+0.013143j,1.386296+0.000001j,1.386293-0.000001j,0.000000
-0.984483+0.013135j,1.386296+0.000001j,1.386292-0.000001j,0.000000
-0.984459+0.013128j,1.386296+0.000001j,1.386292-0.000001j,0.000000
-0.984435+0.013120j,1.386296+0.000001j,1.386292-0.000001j,0.000000
-0.984411+0.013113j,1.386296+0.000001j,1.386292-0.000001j,0.000000
-0.984387+0.013106j,1.386296+0.000001j,1.386292-0.000001j,0.000000
-0.984363+0.013099j,1.386296+0.000001j,1.386292-0.000001j,0.000000
-0.984339+0.013091j,1.386296+0.000001j,1.386292-0.000001j,0.000000
-0.984316+0.013084j,1.386296+0.000001j,1.386292-0.000001j,0.000000
-0.984292+0.013077j,1.386296+0.000001j,1.386292-0.000001j,0.000000
-0.984268+0.013070j,1.386296+0.000001j,1.386292-0.000001j,0.000000
-0.984245+0.013063j,1.386296+0.000001j,1.386292-0.000001j,0.000000
-0.984222+0.013056j,1.386296+0.000001j,1.386292-0.000001j,0.000000
-0.984198+0.013050j,1.386296+0.000001j,1.386292-0.000001j,0.000000
-0.984175+0.013043j,1.386296+0.000001j,1.386292-0.000001j,0.000000
-0.984152+0.013036j,1.386296+0.000001j,1.386292-0.000001j,0.000000
-0.984129+0.013029j,1.386296+0.000001j,1.386292-0.000001j,0.000000
-0.984106+0.013023j,1.386296+0.000001j,1.386292-0.000001j,0.000000
-0.984083+0.013016j,1.386296+0.000001j,1.386292-0.000001j,0.000000
-0.984060+0.013009j,1.386296+0.000001j,1.386292-0.000001j,0.000000
-0.984037+0.013003j,1.386296+0.000001j,1.386292-0.000001j,0.000000
-0.984014+0.012996j,1.386296+0.000001j,1.386292-0.000001j,0.000000
-0.983992+0.012990j,1.386296+0.000001j,1.386292-0.000001j,0.000000
-0.983969+0.012983j,1.386296+0.000001j,1.386292-0.000001j,0.000000
-0.983947+0.012977j,1.386296+0.000001j,1.386292-0.000001j,0.000000
-0.983924+0.012970j,1.386296+0.000001j,1.386292-0.000001j,0.000000
-0.983902+0.012964j,1.386296+0.000001j,1.386292-0.000001j,0.000000
-0.983880+0.012958j,1.386296+0.000001j,1.386292-0.000001j,0.000000
-0.983857+0.012952j,1.386296+0.000001j,1.386292-0.000001j,0.000000
-0.983835+0.012945j,1.386296+0.000001j,1.386292-0.000001j,0.000000
-0.983813+0.012939j,1.386296+0.000001j,1.386292-0.000001j,0.000000
-0.983791+0.012933j,1.386296+0.000001j,1.386292-0.000001j,0.000000
-0.983769+0.012927j,1.386296+0.000001j,1.386292-0.000001j,0.000000
-0.983747+0.012921j,1.386296+0.000001j,1.386292-0.000001j,0.000000
-0.983725+0.012915j,1.386296+0.000001j,1.386292-0.000001j,0.000000
-0.983703+0.012909j,1.386296+0.000001j,1.386292-0.000001j,0.000000
-0.983681+0.012903j,1.386296+0.000001j,1.386292-0.000001j,0.000000
-0.983660+0.012897j,1.386296+0.000001j,1.386292-0.000001j,0.000000
-0.983638+0.012891j,1.386296+0.000001j,1.386292-0.000001j,0.000000
-0.983617+0.012885j,1.386296+0.000001j,1.386292-0.000001j,0.000000
-0.983595+0.012879j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.983574+0.012874j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.983552+0.012868j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.983531+0.012862j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.983510+0.012857j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.983488+0.012851j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.983467+0.012845j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.983446+0.012840j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.983425+0.012834j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.983404+0.012829j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.983383+0.012823j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.983362+0.012818j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.983341+0.012812j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.983320+0.012807j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.983300+0.012801j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.983279+0.012796j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.983258+0.012791j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.983238+0.012785j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.983217+0.012780j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.983197+0.012775j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.983176+0.012770j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.983156+0.012765j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.983135+0.012760j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.983115+0.012754j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.983095+0.012749j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.983074+0.012744j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.983054+0.012739j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.983034+0.012734j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.983014+0.012729j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982994+0.012724j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982974+0.012719j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982954+0.012715j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982934+0.012710j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982914+0.012705j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982895+0.012700j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982875+0.012695j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982855+0.012690j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982835+0.012686j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982816+0.012681j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982796+0.012676j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982777+0.012672j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982757+0.012667j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982738+0.012662j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982718+0.012658j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982699+0.012653j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982680+0.012649j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982660+0.012644j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982641+0.012640j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982622+0.012635j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982603+0.012631j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982583+0.012626j,1.386297+0.000001j,1.386292-0.000001j,0.000000
-0.982564+0.012622j,1.386297+0.000001j,1.386292-0.000001j,0.000000
