-1.010361+0.010225j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.010331+0.010259j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.010302+0.010293j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.010272+0.010327j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.010243+0.010361j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.010213+0.010395j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.010184+0.010429j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.010155+0.010463j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.010126+0.010496j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.010097+0.010530j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.010069+0.010564j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.010040+0.010598j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.010012+0.010632j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.009983+0.010666j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.009955+0.010700j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.009927+0.010734j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.009899+0.010767j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.009872+0.010801j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.009844+0.010835j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.009816+0.010869j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.009789+0.010903j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.009762+0.010937j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.009735+0.010971j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.009708+0.011005j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.009681+0.011039j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.009654+0.011073j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.009627+0.011107j,1.386295-0.000001j,1.386294+0.000001j,0.000000
