30,12,620,15,356
31,12,620,15,356
32,12,620,15,356
33,12,620,15,356
34,12,620,15,356
35,12,620,15,356
36,12,620,15,356
37,12,620,15,356
38,12,620,15,356
39,12,620,15,356
40,12,620,15,356
41,12,620,15,356
42,12,620,15,356
43,12,620,15,356
44,12,661,28,484
45,14,356,16,628
46,14,356,16,628
47,14,356,16,628
48,14,356,16,628
49,14,356,16,628
50,14,356,16,628
51,14,356,16,628
52,14,356,16,628
53,14,356,16,628
54,14,356,16,628
55,14,356,16,628
56,14,356,16,628
57,14,356,16,628
58,14,356,16,628
59,14,352,19,798
60,14,370,27,498
61,15,370,19,480
62,15,351,27,826
63,16,668,20,473
64,19,426,21,366
65,19,489,23,636
66,20,447,23,461
67,20,455,25,373
68,20,497,26,648
69,22,375,28,468
70,23,642,28,510
71,24,371,27,443
72,26,642,27,505
73,26,456,28,460
74,12,637,62,26
75,12,490,66,218
76,12,490,66,218
77,14,367,72,19
78,15,366,65,20
79,16,645,59,26
80,16,494,73,215
81,16,494,73,215
82,20,482,46,41
83,20,482,46,41
84,20,482,46,41
85,22,357,30,73
86,22,357,30,73
87,22,357,30,73
88,22,357,31,75
89,22,357,31,75
90,22,357,31,75
91,22,334,41,83
92,22,334,41,83
93,22,334,41,83
94,22,334,41,83
95,22,334,41,83
96,22,334,41,83
97,22,334,41,83
98,22,334,41,83
99,22,334,41,83
100,22,334,41,83
101,22,334,41,83
102,22,334,41,83
103,22,334,41,83
104,22,334,41,83
105,22,351,62,60
106,22,377,73,19
107,23,700,62,111
108,23,700,62,111
109,23,473,67,19
110,25,355,45,71
111,25,355,45,71
112,25,355,45,71
113,25,355,46,76
114,25,355,46,76
115,25,355,46,76
116,25,334,53,91
117,25,334,53,91
118,25,334,53,91
119,25,334,53,91
120,25,334,53,91
121,25,334,53,91
122,25,334,53,91
123,25,334,53,91
124,25,334,53,91
125,25,334,53,91
126,25,334,53,91
127,25,334,53,91
128,25,334,53,91
129,25,334,53,91
130,25,349,59,64
131,25,375,66,20
132,26,711,59,120
133,26,711,59,120
134,26,469,69,21
135,28,494,30,43
136,28,494,30,43
137,28,494,30,43
138,30,43,62,37
139,30,43,62,37
140,30,43,62,37
141,31,60,65,62
142,31,60,65,62
143,31,60,65,62
144,41,41,65,44
145,45,58,72,61
146,45,58,72,61
147,45,58,72,61
148,46,41,59,36
149,46,41,59,36
150,46,41,59,36
151,53,40,72,43
152,22,351,135,36
153,23,723,105,69
154,25,349,82,40
155,26,736,130,68
156,46,41,82,2
157,46,41,82,2
158,46,41,82,2
