-94208596.622075+200860294.788326j
-1.459816-0.184565j
-0.674241+0.085244j
-0.070246+3.348792j
-0.046140-1.160131j
-0.034228+0.860611j
-0.006261-0.298484j
0.513494-0.156847j
0.786977+0.581639j
0.821791-0.607369j
1.781250+0.544085j
94208598.650813-200860249.896731j
