1.000000+0.000000j
0.943942-0.000414j
0.942392+0.001428j
0.941135-0.000192j
0.390516+0.070849j
0.294824+0.000000j
-0.942792+0.000246j
0.943436+0.000634j
-0.942639-0.000250j
-0.471302+0.816556j
-0.943148-0.000081j
-0.942908-0.000118j
-0.943116+0.000152j
0.390516-0.070849j
2.203660+0.399796j
3.014984-0.000000j
0.942533-0.001480j
-0.942429-0.000006j
-0.471302-0.816556j
0.943395-0.000015j
2.203660-0.399796j
