-1.001616+0.001320j
-1.000715+0.000115j
-0.999285-0.000115j
-0.998385-0.001316j
-0.236308-2.171832j
-0.049513+0.455053j
0.193571-0.177405j
0.261456-0.221089j
2.230099+1.885785j
2.807724+2.573235j
