54,12,418,15,352
55,12,581,25,411
56,15,448,28,502
57,16,464,19,417
58,18,462,33,354
59,20,382,34,425
60,21,386,26,399
61,22,365,31,449
62,23,442,30,376
63,25,338,28,400
64,36,474,39,506
65,37,474,39,506
66,38,461,40,624
67,38,461,41,624
68,12,418,63,108
69,15,352,63,108
70,25,338,54,109
71,28,400,54,109
72,54,67,59,60
73,61,48,63,44
