-1.005241-0.000086j
-1.001548-0.000005j
-0.998454+0.000005j
-0.994786+0.000085j
0.269245-0.548367j
0.291651+0.531179j
0.721451+1.469366j
0.747897+0.604526j
0.794233-1.446521j
0.808711-0.653682j
