file_a,file_b,arc_fraction
data/path_data/path_data_13.csv,data/path_data/path_data_22.csv,1.0 0
data/path_data/path_data_16.csv,data/path_data/path_data_24.csv,1.0 1
data/path_data/path_data_38.csv,data/path_data/path_data_39.csv,1.0 2
