-1.386546+0.414715j
-1.172721+0.030133j
-0.852155-0.021896j
-0.661994-0.198002j
-0.246256-2.133903j
-0.053369+0.462466j
0.204042-0.183786j
0.267720-0.219489j
2.233802+1.831374j
2.705759+2.437137j
