-1.386546+0.414715j,-0.198199+0.256861j,-0.198199+0.256861j,0.000000
-1.386546+0.414715j,-0.198202+0.256863j,-0.198196+0.256860j,0.000000
-1.386546+0.414715j,-0.198201+0.256862j,-0.198197+0.256861j,0.000000
-1.386546+0.414715j,-0.198200+0.256861j,-0.198198+0.256862j,0.000000
-1.386546+0.414715j,-0.198206+0.256857j,-0.198193+0.256866j,0.000000
-1.386546+0.414715j,-0.198206+0.256857j,-0.198192+0.256866j,0.000000
-1.386546+0.414715j,-0.198206+0.256857j,-0.198192+0.256866j,0.000000
-1.386546+0.414715j,-0.198207+0.256856j,-0.198192+0.256866j,0.000000
-1.386546+0.414715j,-0.198207+0.256856j,-0.198191+0.256866j,0.000000
-1.386546+0.414715j,-0.198207+0.256856j,-0.198191+0.256866j,0.000000
-1.386546+0.414715j,-0.198207+0.256856j,-0.198191+0.256866j,0.000000
-1.386546+0.414715j,-0.198208+0.256856j,-0.198191+0.256866j,0.000000
-1.386546+0.414715j,-0.198208+0.256856j,-0.198190+0.256867j,0.000000
-1.386546+0.414715j,-0.198208+0.256856j,-0.198190+0.256867j,0.000000
-1.386546+0.414715j,-0.198208+0.256856j,-0.198190+0.256867j,0.000000
-1.386546+0.414715j,-0.198209+0.256855j,-0.198190+0.256867j,0.000000
-1.386546+0.414715j,-0.198209+0.256855j,-0.198190+0.256867j,0.000000
-1.386546+0.414715j,-0.198209+0.256855j,-0.198189+0.256867j,0.000000
-1.386546+0.414715j,-0.198209+0.256855j,-0.198189+0.256867j,0.000000
-1.386546+0.414715j,-0.198209+0.256855j,-0.198189+0.256867j,0.000000
-1.386546+0.414715j,-0.198209+0.256855j,-0.198189+0.256867j,0.000000
-1.386546+0.414715j,-0.198210+0.256855j,-0.198189+0.256867j,0.000000
-1.386546+0.414715j,-0.198210+0.256855j,-0.198189+0.256868j,0.000000
-1.386546+0.414715j,-0.198210+0.256855j,-0.198189+0.256868j,0.000000
-1.386546+0.414715j,-0.198210+0.256855j,-0.198188+0.256868j,0.000000
-1.386546+0.414715j,-0.198210+0.256855j,-0.198188+0.256868j,0.000000
-1.386546+0.414715j,-0.198210+0.256855j,-0.198188+0.256868j,0.000000
-1.386546+0.414715j,-0.198210+0.256854j,-0.198188+0.256868j,0.000000
-1.386546+0.414715j,-0.198211+0.256854j,-0.198188+0.256868j,0.000000
-1.386546+0.414715j,-0.198211+0.256854j,-0.198188+0.256868j,0.000000
-1.386546+0.414715j,-0.198211+0.256854j,-0.198188+0.256868j,0.000000
-1.386546+0.414715j,-0.198211+0.256854j,-0.198187+0.256868j,0.000000
-1.386546+0.414715j,-0.198211+0.256854j,-0.198187+0.256868j,0.000000
-1.386546+0.414715j,-0.198211+0.256854j,-0.198187+0.256868j,0.000000
-1.386546+0.414715j,-0.198211+0.256854j,-0.198187+0.256868j,0.000000
-1.386546+0.414715j,-0.198211+0.256854j,-0.198187+0.256868j,0.000000
-1.386546+0.414715j,-0.198211+0.256854j,-0.198187+0.256869j,0.000000
-1.386546+0.414715j,-0.198212+0.256854j,-0.198187+0.256869j,0.000000
-1.386546+0.414715j,-0.198212+0.256854j,-0.198187+0.256869j,0.000000
-1.386546+0.414715j,-0.198212+0.256854j,-0.198187+0.256869j,0.000000
-1.386546+0.414715j,-0.198212+0.256854j,-0.198186+0.256869j,0.000000
-1.386546+0.414715j,-0.198212+0.256854j,-0.198186+0.256869j,0.000000
-1.386546+0.414715j,-0.198212+0.256854j,-0.198186+0.256869j,0.000000
-1.386546+0.414715j,-0.198212+0.256854j,-0.198186+0.256869j,0.000000
-1.386546+0.414715j,-0.198212+0.256853j,-0.198186+0.256869j,0.000000
-1.386546+0.414715j,-0.198212+0.256853j,-0.198186+0.256869j,0.000000
-1.386546+0.414715j,-0.198213+0.256853j,-0.198186+0.256869j,0.000000
-1.386546+0.414715j,-0.198213+0.256853j,-0.198186+0.256869j,0.000000
-1.386546+0.414715j,-0.198213+0.256853j,-0.198186+0.256869j,0.000000
-1.386546+0.414715j,-0.198213+0.256853j,-0.198186+0.256869j,0.000000
-1.386546+0.414715j,-0.198213+0.256853j,-0.198185+0.256869j,0.000000
-1.386546+0.414715j,-0.198213+0.256853j,-0.198185+0.256869j,0.000000
-1.386546+0.414715j,-0.198212+0.256854j,-0.198186+0.256869j,0.000000
-1.386546+0.414715j,-0.198213+0.256854j,-0.198186+0.256869j,0.000000
-1.386546+0.414715j,-0.198213+0.256853j,-0.198186+0.256869j,0.000000
-1.386546+0.414715j,-0.198213+0.256853j,-0.198185+0.256869j,0.000000
-1.386546+0.414715j,-0.198213+0.256853j,-0.198185+0.256869j,0.000000
-1.386546+0.414715j,-0.198213+0.256853j,-0.198185+0.256869j,0.000000
-1.386546+0.414715j,-0.198213+0.256853j,-0.198185+0.256869j,0.000000
-1.386546+0.414715j,-0.198214+0.256853j,-0.198185+0.256870j,0.000000
-1.386546+0.414715j,-0.198214+0.256853j,-0.198185+0.256870j,0.000000
-1.386546+0.414715j,-0.198214+0.256853j,-0.198184+0.256870j,0.000000
-1.386546+0.414715j,-0.198214+0.256853j,-0.198184+0.256870j,0.000000
-1.386546+0.414715j,-0.198214+0.256853j,-0.198184+0.256870j,0.000000
-1.386546+0.414715j,-0.198214+0.256852j,-0.198184+0.256870j,0.000000
-1.386546+0.414715j,-0.198215+0.256852j,-0.198184+0.256870j,0.000000
-1.386546+0.414715j,-0.198215+0.256852j,-0.198184+0.256870j,0.000000
-1.386546+0.414715j,-0.198215+0.256852j,-0.198184+0.256870j,0.000000
-1.386546+0.414715j,-0.198215+0.256852j,-0.198183+0.256870j,0.000000
-1.386546+0.414715j,-0.198215+0.256852j,-0.198183+0.256870j,0.000000
-1.386546+0.414715j,-0.198215+0.256852j,-0.198183+0.256870j,0.000000
-1.386546+0.414715j,-0.198215+0.256852j,-0.198183+0.256871j,0.000000
-1.386546+0.414715j,-0.198215+0.256852j,-0.198183+0.256871j,0.000000
-1.386546+0.414715j,-0.198216+0.256852j,-0.198183+0.256871j,0.000000
-1.386546+0.414715j,-0.198216+0.256852j,-0.198183+0.256871j,0.000000
-1.386546+0.414715j,-0.198216+0.256852j,-0.198183+0.256871j,0.000000
-1.386546+0.414715j,-0.198216+0.256852j,-0.198182+0.256871j,0.000000
-1.386546+0.414715j,-0.198216+0.256851j,-0.198182+0.256871j,0.000000
-1.386546+0.414715j,-0.198216+0.256851j,-0.198182+0.256871j,0.000000
-1.386546+0.414715j,-0.198216+0.256851j,-0.198182+0.256871j,0.000000
-1.386546+0.414715j,-0.198216+0.256851j,-0.198182+0.256871j,0.000000
-1.386546+0.414715j,-0.198217+0.256851j,-0.198182+0.256871j,0.000000
-1.386546+0.414715j,-0.198217+0.256851j,-0.198182+0.256871j,0.000000
-1.386546+0.414715j,-0.198217+0.256851j,-0.198182+0.256871j,0.000000
-1.386546+0.414715j,-0.198217+0.256851j,-0.198182+0.256871j,0.000000
-1.386546+0.414715j,-0.198217+0.256851j,-0.198181+0.256871j,0.000000
-1.386546+0.414715j,-0.198217+0.256851j,-0.198181+0.256871j,0.000000
-1.386546+0.414715j,-0.198217+0.256851j,-0.198181+0.256872j,0.000000
-1.386546+0.414715j,-0.198217+0.256851j,-0.198181+0.256872j,0.000000
-1.386546+0.414715j,-0.198217+0.256851j,-0.198181+0.256872j,0.000000
-1.386546+0.414715j,-0.198217+0.256851j,-0.198181+0.256872j,0.000000
-1.386546+0.414715j,-0.198218+0.256851j,-0.198181+0.256872j,0.000000
-1.386546+0.414715j,-0.198218+0.256851j,-0.198181+0.256872j,0.000000
-1.386546+0.414715j,-0.198218+0.256851j,-0.198181+0.256872j,0.000000
-1.386546+0.414715j,-0.198218+0.256850j,-0.198180+0.256872j,0.000000
-1.386546+0.414715j,-0.198218+0.256850j,-0.198180+0.256872j,0.000000
-1.386546+0.414715j,-0.198218+0.256850j,-0.198180+0.256872j,0.000000
-1.386546+0.414715j,-0.198218+0.256850j,-0.198180+0.256872j,0.000000
-1.386546+0.414715j,-0.198218+0.256850j,-0.198180+0.256872j,0.000000
-1.386546+0.414715j,-0.198218+0.256850j,-0.198180+0.256872j,0.000000
-1.386546+0.414715j,-0.198218+0.256850j,-0.198180+0.256872j,0.000000
-1.386546+0.414715j,-0.198219+0.256850j,-0.198180+0.256872j,0.000000
-1.386546+0.414715j,-0.198219+0.256850j,-0.198180+0.256872j,0.000000
-1.386546+0.414715j,-0.198219+0.256850j,-0.198180+0.256872j,0.000000
-1.386546+0.414715j,-0.198219+0.256850j,-0.198179+0.256873j,0.000000
-1.386546+0.414715j,-0.198219+0.256850j,-0.198179+0.256873j,0.000000
-1.386546+0.414715j,-0.198219+0.256850j,-0.198179+0.256873j,0.000000
-1.386546+0.414715j,-0.198219+0.256850j,-0.198179+0.256873j,0.000000
-1.386546+0.414715j,-0.198220+0.256849j,-0.198179+0.256873j,0.000000
-1.386546+0.414715j,-0.198220+0.256849j,-0.198179+0.256873j,0.000000
-1.386546+0.414715j,-0.198220+0.256849j,-0.198178+0.256873j,0.000000
-1.386546+0.414715j,-0.198220+0.256849j,-0.198178+0.256873j,0.000000
-1.386546+0.414715j,-0.198220+0.256849j,-0.198178+0.256873j,0.000000
-1.386546+0.414715j,-0.198220+0.256849j,-0.198178+0.256873j,0.000000
-1.386546+0.414715j,-0.198221+0.256849j,-0.198178+0.256873j,0.000000
-1.386546+0.414715j,-0.198221+0.256849j,-0.198178+0.256874j,0.000000
-1.386546+0.414715j,-0.198221+0.256849j,-0.198178+0.256874j,0.000000
-1.386546+0.414715j,-0.198221+0.256849j,-0.198177+0.256874j,0.000000
-1.386546+0.414715j,-0.198221+0.256849j,-0.198177+0.256874j,0.000000
-1.386546+0.414715j,-0.198221+0.256849j,-0.198177+0.256874j,0.000000
-1.386546+0.414715j,-0.198221+0.256848j,-0.198177+0.256874j,0.000000
-1.386546+0.414715j,-0.198222+0.256848j,-0.198177+0.256874j,0.000000
-1.386546+0.414715j,-0.198222+0.256848j,-0.198177+0.256874j,0.000000
-1.386546+0.414715j,-0.198222+0.256848j,-0.198177+0.256874j,0.000000
-1.386546+0.414715j,-0.198222+0.256848j,-0.198176+0.256874j,0.000000
-1.386546+0.414715j,-0.198222+0.256848j,-0.198176+0.256874j,0.000000
-1.386546+0.414715j,-0.198222+0.256848j,-0.198176+0.256874j,0.000000
-1.386546+0.414715j,-0.198222+0.256848j,-0.198176+0.256874j,0.000000
-1.386546+0.414715j,-0.198222+0.256848j,-0.198176+0.256875j,0.000000
-1.386546+0.414715j,-0.198223+0.256848j,-0.198176+0.256875j,0.000000
-1.386546+0.414715j,-0.198223+0.256848j,-0.198176+0.256875j,0.000000
-1.386546+0.414715j,-0.198223+0.256848j,-0.198176+0.256875j,0.000000
-1.386546+0.414715j,-0.198223+0.256848j,-0.198175+0.256875j,0.000000
-1.386546+0.414715j,-0.198223+0.256847j,-0.198175+0.256875j,0.000000
-1.386546+0.414715j,-0.198223+0.256847j,-0.198175+0.256875j,0.000000
-1.386546+0.414715j,-0.198223+0.256847j,-0.198175+0.256875j,0.000000
-1.386546+0.414715j,-0.198223+0.256847j,-0.198175+0.256875j,0.000000
-1.386546+0.414715j,-0.198224+0.256847j,-0.198175+0.256875j,0.000000
-1.386546+0.414715j,-0.198224+0.256847j,-0.198175+0.256875j,0.000000
-1.386546+0.414715j,-0.198224+0.256847j,-0.198175+0.256875j,0.000000
-1.386546+0.414715j,-0.198224+0.256847j,-0.198175+0.256875j,0.000000
-1.386546+0.414715j,-0.198224+0.256847j,-0.198174+0.256875j,0.000000
-1.386546+0.414715j,-0.198224+0.256847j,-0.198174+0.256875j,0.000000
-1.386546+0.414715j,-0.198224+0.256847j,-0.198174+0.256876j,0.000000
-1.386546+0.414715j,-0.198224+0.256847j,-0.198174+0.256876j,0.000000
-1.386546+0.414715j,-0.198224+0.256847j,-0.198174+0.256876j,0.000000
-1.386546+0.414715j,-0.198224+0.256847j,-0.198174+0.256876j,0.000000
-1.386546+0.414715j,-0.198225+0.256847j,-0.198174+0.256876j,0.000000
-1.386546+0.414715j,-0.198225+0.256847j,-0.198174+0.256876j,0.000000
-1.386546+0.414715j,-0.198225+0.256846j,-0.198174+0.256876j,0.000000
-1.386546+0.414715j,-0.198225+0.256846j,-0.198173+0.256876j,0.000000
-1.386546+0.414715j,-0.198225+0.256846j,-0.198173+0.256876j,0.000000
-1.386546+0.414715j,-0.198225+0.256846j,-0.198173+0.256876j,0.000000
-1.386546+0.414715j,-0.198225+0.256846j,-0.198173+0.256876j,0.000000
-1.386546+0.414715j,-0.198225+0.256846j,-0.198173+0.256876j,0.000000
-1.386546+0.414715j,-0.198225+0.256846j,-0.198173+0.256876j,0.000000
-1.386546+0.414715j,-0.198226+0.256846j,-0.198173+0.256876j,0.000000
-1.386546+0.414715j,-0.198226+0.256846j,-0.198173+0.256876j,0.000000
-1.386546+0.414715j,-0.198226+0.256846j,-0.198173+0.256876j,0.000000
-1.386546+0.414715j,-0.198226+0.256846j,-0.198172+0.256877j,0.000000
-1.386546+0.414715j,-0.198226+0.256846j,-0.198172+0.256877j,0.000000
-1.386546+0.414715j,-0.198226+0.256846j,-0.198172+0.256877j,0.000000
-1.386546+0.414715j,-0.198226+0.256846j,-0.198172+0.256877j,0.000000
-1.386546+0.414715j,-0.198226+0.256846j,-0.198172+0.256877j,0.000000
-1.386546+0.414715j,-0.198227+0.256846j,-0.198172+0.256877j,0.000000
-1.386546+0.414715j,-0.198227+0.256845j,-0.198172+0.256877j,0.000000
-1.386546+0.414715j,-0.198227+0.256845j,-0.198172+0.256877j,0.000000
-1.386546+0.414715j,-0.198227+0.256845j,-0.198172+0.256877j,0.000000
-1.386546+0.414715j,-0.198227+0.256845j,-0.198171+0.256877j,0.000000
-1.386546+0.414715j,-0.198227+0.256845j,-0.198171+0.256877j,0.000000
-1.386546+0.414715j,-0.198227+0.256845j,-0.198171+0.256877j,0.000000
-1.386546+0.414715j,-0.198227+0.256845j,-0.198171+0.256877j,0.000000
-1.386546+0.414715j,-0.198227+0.256845j,-0.198171+0.256877j,0.000000
-1.386546+0.414715j,-0.198228+0.256845j,-0.198171+0.256877j,0.000000
-1.386547+0.414715j,-0.198228+0.256845j,-0.198171+0.256878j,0.000000
-1.386547+0.414715j,-0.198228+0.256845j,-0.198171+0.256878j,0.000000
-1.386547+0.414715j,-0.198228+0.256845j,-0.198171+0.256878j,0.000000
-1.386547+0.414715j,-0.198228+0.256845j,-0.198170+0.256878j,0.000000
-1.386547+0.414715j,-0.198228+0.256845j,-0.198170+0.256878j,0.000000
-1.386547+0.414715j,-0.198228+0.256845j,-0.198170+0.256878j,0.000000
-1.386547+0.414715j,-0.198228+0.256845j,-0.198170+0.256878j,0.000000
-1.386547+0.414715j,-0.198228+0.256844j,-0.198170+0.256878j,0.000000
-1.386547+0.414715j,-0.198228+0.256844j,-0.198170+0.256878j,0.000000
-1.386547+0.414715j,-0.198229+0.256844j,-0.198170+0.256878j,0.000000
-1.386547+0.414715j,-0.198229+0.256844j,-0.198170+0.256878j,0.000000
-1.386547+0.414715j,-0.198229+0.256844j,-0.198170+0.256878j,0.000000
-1.386547+0.414715j,-0.198229+0.256844j,-0.198170+0.256878j,0.000000
-1.386547+0.414715j,-0.198229+0.256844j,-0.198169+0.256878j,0.000000
-1.386547+0.414715j,-0.198229+0.256844j,-0.198169+0.256878j,0.000000
-1.386547+0.414715j,-0.198229+0.256844j,-0.198169+0.256878j,0.000000
-1.386547+0.414715j,-0.198229+0.256844j,-0.198169+0.256878j,0.000000
-1.386547+0.414715j,-0.198229+0.256844j,-0.198169+0.256878j,0.000000
-1.386547+0.414715j,-0.198229+0.256844j,-0.198169+0.256879j,0.000000
-1.386547+0.414715j,-0.198229+0.256844j,-0.198169+0.256879j,0.000000
-1.386547+0.414715j,-0.198230+0.256844j,-0.198169+0.256879j,0.000000
-1.386547+0.414715j,-0.198230+0.256844j,-0.198169+0.256879j,0.000000
-1.386547+0.414715j,-0.198230+0.256844j,-0.198169+0.256879j,0.000000
-1.386547+0.414715j,-0.198230+0.256844j,-0.198169+0.256879j,0.000000
-1.386547+0.414715j,-0.198230+0.256844j,-0.198168+0.256879j,0.000000
-1.386547+0.414715j,-0.198230+0.256844j,-0.198168+0.256879j,0.000000
-1.386547+0.414715j,-0.198230+0.256843j,-0.198168+0.256879j,0.000000
-1.386547+0.414715j,-0.198230+0.256843j,-0.198168+0.256879j,0.000000
-1.386547+0.414715j,-0.198230+0.256843j,-0.198168+0.256879j,0.000000
-1.386547+0.414715j,-0.198235+0.256841j,-0.198163+0.256882j,0.000000
-1.386547+0.414715j,-0.198239+0.256839j,-0.198160+0.256884j,0.000000
-1.386547+0.414715j,-0.198243+0.256836j,-0.198155+0.256886j,0.000000
-1.386547+0.414715j,-0.198248+0.256833j,-0.198150+0.256889j,0.000000
-1.386547+0.414715j,-0.198254+0.256830j,-0.198145+0.256892j,0.000000
-1.386547+0.414715j,-0.198259+0.256827j,-0.198139+0.256896j,0.000000
-1.386547+0.414715j,-0.198266+0.256823j,-0.198133+0.256899j,0.000000
-1.386547+0.414715j,-0.198273+0.256819j,-0.198126+0.256903j,0.000000
-1.386547+0.414715j,-0.198280+0.256815j,-0.198118+0.256908j,0.000000
-1.386547+0.414715j,-0.198288+0.256810j,-0.198110+0.256912j,0.000000
-1.386547+0.414715j,-0.198297+0.256805j,-0.198101+0.256917j,0.000000
-1.386547+0.414715j,-0.198307+0.256799j,-0.198092+0.256923j,0.000000
-1.386547+0.414715j,-0.198317+0.256793j,-0.198081+0.256929j,0.000000
-1.386547+0.414715j,-0.198329+0.256787j,-0.198070+0.256935j,0.000000
-1.386547+0.414715j,-0.198341+0.256780j,-0.198058+0.256942j,0.000000
-1.386547+0.414715j,-0.198354+0.256772j,-0.198045+0.256950j,0.000000
-1.386548+0.414714j,-0.198368+0.256764j,-0.198030+0.256958j,0.000000
-1.386548+0.414714j,-0.198384+0.256756j,-0.198015+0.256967j,0.000000
-1.386548+0.414714j,-0.198400+0.256746j,-0.197999+0.256976j,0.000000
-1.386548+0.414714j,-0.198418+0.256736j,-0.197981+0.256986j,0.000000
-1.386549+0.414714j,-0.198437+0.256725j,-0.197962+0.256997j,0.000000
-1.386549+0.414714j,-0.198457+0.256713j,-0.197942+0.257009j,0.000000
-1.386549+0.414714j,-0.198479+0.256701j,-0.197920+0.257021j,0.000000
-1.386550+0.414714j,-0.198502+0.256688j,-0.197897+0.257034j,0.000000
-1.386550+0.414714j,-0.198527+0.256673j,-0.197872+0.257049j,0.000000
-1.386551+0.414714j,-0.198554+0.256658j,-0.197845+0.257064j,0.000000
-1.386552+0.414714j,-0.198583+0.256641j,-0.197817+0.257080j,0.000000
-1.386553+0.414714j,-0.198613+0.256624j,-0.197787+0.257097j,0.000000
-1.386554+0.414714j,-0.198646+0.256605j,-0.197754+0.257116j,0.000000
-1.386555+0.414714j,-0.198681+0.256585j,-0.197720+0.257136j,0.000000
-1.386556+0.414714j,-0.198718+0.256564j,-0.197683+0.257157j,0.000000
-1.386558+0.414714j,-0.198757+0.256542j,-0.197644+0.257179j,0.000000
-1.386560+0.414713j,-0.198799+0.256518j,-0.197603+0.257203j,0.000000
-1.386562+0.414713j,-0.198843+0.256492j,-0.197559+0.257228j,0.000000
-1.386564+0.414713j,-0.198891+0.256465j,-0.197512+0.257255j,0.000000
-1.386567+0.414713j,-0.198941+0.256436j,-0.197463+0.257283j,0.000000
-1.386570+0.414712j,-0.198994+0.256406j,-0.197410+0.257313j,0.000000
-1.386573+0.414712j,-0.199050+0.256373j,-0.197355+0.257345j,0.000000
-1.386577+0.414712j,-0.199110+0.256339j,-0.197296+0.257378j,0.000000
-1.386581+0.414711j,-0.199173+0.256303j,-0.197234+0.257414j,0.000000
-1.386586+0.414711j,-0.199240+0.256265j,-0.197169+0.257451j,0.000000
-1.386592+0.414711j,-0.199311+0.256224j,-0.197099+0.257491j,0.000000
-1.386598+0.414710j,-0.199386+0.256181j,-0.197026+0.257533j,0.000000
-1.386605+0.414709j,-0.199464+0.256136j,-0.196949+0.257577j,0.000000
-1.386613+0.414709j,-0.199548+0.256088j,-0.196868+0.257623j,0.000000
-1.386622+0.414708j,-0.199635+0.256038j,-0.196783+0.257672j,0.000000
-1.386632+0.414707j,-0.199728+0.255985j,-0.196693+0.257724j,0.000000
-1.386643+0.414706j,-0.199825+0.255929j,-0.196598+0.257778j,0.000000
-1.386656+0.414705j,-0.199928+0.255870j,-0.196499+0.257835j,0.000000
-1.386670+0.414704j,-0.200036+0.255808j,-0.196394+0.257894j,0.000000
-1.386686+0.414702j,-0.200150+0.255743j,-0.196285+0.257957j,0.000000
-1.386703+0.414701j,-0.200269+0.255674j,-0.196170+0.258023j,0.000000
-1.386722+0.414699j,-0.200395+0.255602j,-0.196049+0.258092j,0.000000
-1.386744+0.414697j,-0.200527+0.255527j,-0.195923+0.258164j,0.000000
-1.386768+0.414695j,-0.200666+0.255447j,-0.195790+0.258240j,0.000001
-1.386794+0.414692j,-0.200811+0.255364j,-0.195652+0.258319j,0.000001
-1.386824+0.414690j,-0.200964+0.255276j,-0.195507+0.258402j,0.000001
-1.386856+0.414687j,-0.201123+0.255184j,-0.195356+0.258488j,0.000001
-1.386892+0.414684j,-0.201291+0.255088j,-0.195197+0.258579j,0.000001
-1.386932+0.414680j,-0.201467+0.254987j,-0.195032+0.258673j,0.000001
-1.386976+0.414676j,-0.201650+0.254882j,-0.194860+0.258772j,0.000002
-1.387024+0.414672j,-0.201843+0.254771j,-0.194680+0.258875j,0.000002
-1.387077+0.414667j,-0.202044+0.254655j,-0.194493+0.258982j,0.000002
-1.387136+0.414662j,-0.202254+0.254534j,-0.194298+0.259093j,0.000003
-1.387200+0.414656j,-0.202474+0.254408j,-0.194094+0.259209j,0.000003
-1.387271+0.414650j,-0.202704+0.254276j,-0.193883+0.259330j,0.000003
-1.387349+0.414643j,-0.202944+0.254138j,-0.193663+0.259456j,0.000004
-1.387434+0.414635j,-0.203195+0.253993j,-0.193435+0.259586j,0.000005
-1.387527+0.414627j,-0.203457+0.253843j,-0.193197+0.259722j,0.000005
