-2.371145+0.379482j
-2.369364-1.760388j
-1.608437+4.042649j
-0.411205-0.065810j
-0.271939+0.202045j
-0.084967-0.213557j
0.020342+0.251633j
0.027585+0.623050j
0.070921-1.601869j
0.095571-0.254530j
0.179645+0.199254j
0.319182-3.948243j
1.292913+3.443342j
2.495959-2.768403j
