-1.002834-0.001351j
-1.001360-0.000227j
-0.998642+0.000226j
-0.997172+0.001343j
-0.510615+1.468355j
-0.211278-0.607563j
0.336315+0.117380j
0.419917-0.022571j
2.374564+0.127635j
2.650532-0.925087j
