-0.815248+0.168424j
-0.750000+0.000000j
-1.212558-0.131608j
-0.766882+0.090310j
-0.766882-0.090310j
-1.150658+0.199504j
-1.212552+0.131613j
-0.888566+0.223791j
-0.976933+0.248934j
-1.068417+0.240455j
-1.245738+0.045935j
-1.245744-0.045936j
-1.150659-0.199502j
-1.068416-0.240458j
-0.976933-0.248934j
-0.888565-0.223791j
-0.815248-0.168424j
