0.144252+0.000000j,-0.318454+0.000000j,-0.318454+0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
0.144253-0.000000j,-0.318453+0.000000j,-0.318454-0.000000j,0.000000
