0.025852+0.851722j,0.000262+3.141507j,0.000262+3.141507j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
0.025852+0.851722j,-0.001427+3.142307j,0.001949+3.140711j,0.000000
