0.026891+0.851243j,-0.001303-3.140706j,-0.001303-3.140706j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,-0.004351-3.141068j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,-0.004351-3.141068j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,-0.004351-3.141068j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,-0.004351-3.141068j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,-0.004351-3.141068j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,-0.004351-3.141068j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,-0.004351-3.141068j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,-0.004351-3.141068j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,-0.004351-3.141068j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,-0.004351-3.141068j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,-0.004351-3.141068j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,-0.004351-3.141068j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,-0.004351-3.141068j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,-0.004351-3.141068j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,-0.004351-3.141068j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,-0.004351-3.141068j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,-0.004351-3.141068j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,-0.004351-3.141068j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,-0.004351-3.141068j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,-0.004351-3.141068j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,-0.004351-3.141068j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,-0.004351-3.141068j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,-0.004351-3.141068j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,-0.004351-3.141068j,0.000000
0.026891+0.851243j,-0.001331-3.142471j,-0.004351-3.141068j,0.000000
