0.025747+0.852863j,0.001272-3.139041j,0.001272-3.139041j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
0.025747+0.852863j,-0.000094-3.139999j,0.002636-3.138086j,0.000000
