-0.026651-0.851148j,0.000225+3.141415j,0.000225+3.141415j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
-0.026651-0.851148j,-0.001486+3.142446j,0.001934+3.140387j,0.000000
