-0.025785-0.853116j,-0.000144-3.139914j,-0.000144-3.139914j,0.000000
-0.025785-0.853116j,0.001481-3.140732j,0.001726-3.137173j,0.000000
-0.025785-0.853116j,0.001481-3.140732j,0.001726-3.137173j,0.000000
-0.025785-0.853116j,0.001481-3.140732j,0.001726-3.137173j,0.000000
-0.025785-0.853116j,0.001481-3.140732j,0.001726-3.137173j,0.000000
-0.025785-0.853116j,0.001481-3.140732j,0.001726-3.137173j,0.000000
-0.025785-0.853116j,0.001481-3.140732j,0.001726-3.137173j,0.000000
-0.025785-0.853116j,0.001481-3.140732j,0.001726-3.137173j,0.000000
-0.025785-0.853116j,0.001481-3.140732j,0.001726-3.137173j,0.000000
-0.025785-0.853116j,0.001481-3.140732j,0.001726-3.137173j,0.000000
-0.025785-0.853116j,0.001481-3.140732j,0.001726-3.137173j,0.000000
-0.025785-0.853116j,0.001481-3.140732j,0.001726-3.137173j,0.000000
-0.025785-0.853116j,0.001481-3.140732j,0.001726-3.137173j,0.000000
-0.025785-0.853116j,0.001481-3.140732j,0.001726-3.137173j,0.000000
-0.025785-0.853116j,0.001481-3.140732j,0.001726-3.137173j,0.000000
-0.025785-0.853116j,0.001481-3.140732j,0.001726-3.137173j,0.000000
-0.025785-0.853116j,0.001481-3.140732j,0.001726-3.137173j,0.000000
-0.025785-0.853116j,0.001481-3.140732j,0.001726-3.137173j,0.000000
-0.025785-0.853116j,0.001481-3.140732j,0.001726-3.137173j,0.000000
-0.025785-0.853116j,0.001481-3.140732j,0.001726-3.137173j,0.000000
-0.025785-0.853116j,0.001481-3.140732j,0.001726-3.137173j,0.000000
-0.025785-0.853116j,0.001481-3.140732j,0.001726-3.137173j,0.000000
-0.025785-0.853116j,0.001481-3.140732j,0.001726-3.137173j,0.000000
-0.025785-0.853116j,0.001481-3.140732j,0.001726-3.137173j,0.000000
-0.025785-0.853116j,0.001481-3.140732j,0.001726-3.137173j,0.000000
-0.025785-0.853116j,0.001481-3.140732j,0.001726-3.137173j,0.000000
-0.025785-0.853116j,0.001481-3.140732j,0.001726-3.137173j,0.000000
-0.025785-0.853116j,0.001481-3.140732j,0.001726-3.137173j,0.000000
-0.025785-0.853116j,0.001481-3.140732j,0.001726-3.137173j,0.000000
-0.025785-0.853116j,0.001481-3.140732j,0.001726-3.137173j,0.000000
-0.025785-0.853116j,0.001481-3.140732j,0.001726-3.137173j,0.000000
-0.025785-0.853116j,0.001481-3.140732j,0.001726-3.137173j,0.000000
-0.025785-0.853116j,0.001481-3.140732j,0.001726-3.137173j,0.000000
-0.025785-0.853116j,0.001481-3.140732j,0.001726-3.137173j,0.000000
-0.025785-0.853116j,0.001481-3.140732j,0.001726-3.137173j,0.000000
-0.025785-0.853116j,0.001481-3.140732j,0.001726-3.137173j,0.000000
-0.025785-0.853116j,0.001481-3.140732j,0.001726-3.137173j,0.000000
-0.025785-0.853116j,0.001481-3.140732j,0.001726-3.137173j,0.000000
-0.025785-0.853116j,0.001481-3.140732j,0.001726-3.137173j,0.000000
-0.025785-0.853116j,0.001481-3.140732j,0.001726-3.137173j,0.000000
-0.025785-0.853116j,0.001481-3.140732j,0.001726-3.137173j,0.000000
-0.025785-0.853116j,0.001481-3.140732j,0.001726-3.137173j,0.000000
-0.025785-0.853116j,0.001481-3.140732j,0.001726-3.137173j,0.000000
-0.025785-0.853116j,0.001481-3.140732j,0.001726-3.137173j,0.000000
-0.025785-0.853116j,0.001481-3.140732j,0.001726-3.137173j,0.000000
-0.025785-0.853116j,0.001481-3.140732j,0.001726-3.137173j,0.000000
-0.025785-0.853116j,0.001481-3.140732j,0.001726-3.137173j,0.000000
-0.025785-0.853116j,0.001481-3.140732j,0.001726-3.137173j,0.000000
-0.025785-0.853116j,0.001481-3.140732j,0.001726-3.137173j,0.000000
