0.025852+0.851722j,0.000112-3.140021j,0.000112-3.140021j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
0.025852+0.851722j,0.001949-3.142475j,-0.001427-3.140878j,0.000000
