-1.070414-0.239480j,-0.000002-3.141594j,0.000002-3.141591j,0.000000
-1.070431-0.239472j,-0.000002-3.141594j,0.000002-3.141591j,0.000000
-1.070447-0.239464j,-0.000002-3.141594j,0.000002-3.141591j,0.000000
-1.070464-0.239456j,-0.000002-3.141594j,0.000002-3.141591j,0.000000
-1.070481-0.239448j,-0.000002-3.141594j,0.000002-3.141591j,0.000000
-1.070497-0.239440j,-0.000002-3.141594j,0.000002-3.141591j,0.000000
-1.070514-0.239433j,-0.000002-3.141595j,0.000002-3.141591j,0.000000
-1.070530-0.239425j,-0.000002-3.141595j,0.000002-3.141591j,0.000000
-1.070546-0.239417j,-0.000002-3.141595j,0.000002-3.141591j,0.000000
-1.070563-0.239409j,-0.000002-3.141595j,0.000002-3.141591j,0.000000
-1.070579-0.239402j,-0.000002-3.141595j,0.000002-3.141591j,0.000000
-1.070595-0.239394j,-0.000002-3.141595j,0.000002-3.141591j,0.000000
-1.070611-0.239387j,-0.000002-3.141595j,0.000002-3.141591j,0.000000
-1.070627-0.239379j,-0.000002-3.141595j,0.000002-3.141591j,0.000000
-1.070643-0.239372j,-0.000002-3.141595j,0.000002-3.141591j,0.000000
-1.070659-0.239364j,-0.000002-3.141595j,0.000002-3.141591j,0.000000
-1.070675-0.239357j,-0.000002-3.141595j,0.000002-3.141591j,0.000000
-1.070691-0.239349j,-0.000002-3.141595j,0.000002-3.141591j,0.000000
-1.070707-0.239342j,-0.000002-3.141595j,0.000002-3.141591j,0.000000
-1.070722-0.239335j,-0.000003-3.141595j,0.000003-3.141591j,0.000000
-1.070738-0.239327j,-0.000003-3.141595j,0.000003-3.141591j,0.000000
-1.070754-0.239320j,-0.000003-3.141595j,0.000003-3.141591j,0.000000
-1.070769-0.239313j,-0.000003-3.141595j,0.000003-3.141591j,0.000000
-1.070785-0.239305j,-0.000003-3.141595j,0.000003-3.141591j,0.000000
-1.070800-0.239298j,-0.000003-3.141595j,0.000003-3.141591j,0.000000
-1.070816-0.239291j,-0.000003-3.141595j,0.000003-3.141591j,0.000000
-1.070831-0.239284j,-0.000003-3.141595j,0.000003-3.141591j,0.000000
-1.070847-0.239277j,-0.000003-3.141595j,0.000003-3.141591j,0.000000
-1.070862-0.239269j,-0.000003-3.141595j,0.000003-3.141591j,0.000000
-1.070877-0.239262j,-0.000003-3.141595j,0.000003-3.141591j,0.000000
-1.070892-0.239255j,-0.000003-3.141595j,0.000003-3.141591j,0.000000
-1.070908-0.239248j,-0.000003-3.141595j,0.000003-3.141591j,0.000000
-1.070923-0.239241j,-0.000003-3.141595j,0.000003-3.141591j,0.000000
-1.070938-0.239234j,-0.000003-3.141595j,0.000003-3.141591j,0.000000
-1.070953-0.239227j,-0.000003-3.141595j,0.000003-3.141591j,0.000000
-1.070968-0.239220j,-0.000003-3.141595j,0.000003-3.141591j,0.000000
-1.070983-0.239213j,-0.000003-3.141595j,0.000003-3.141591j,0.000000
-1.070998-0.239206j,-0.000003-3.141595j,0.000003-3.141591j,0.000000
-1.071013-0.239200j,-0.000003-3.141595j,0.000003-3.141591j,0.000000
-1.071027-0.239193j,-0.000003-3.141595j,0.000003-3.141591j,0.000000
-1.071042-0.239186j,-0.000003-3.141595j,0.000003-3.141591j,0.000000
-1.071057-0.239179j,-0.000003-3.141595j,0.000003-3.141591j,0.000000
-1.071072-0.239172j,-0.000003-3.141595j,0.000003-3.141591j,0.000000
-1.071086-0.239165j,-0.000003-3.141595j,0.000003-3.141591j,0.000000
-1.071101-0.239159j,-0.000003-3.141595j,0.000003-3.141591j,0.000000
-1.071116-0.239152j,-0.000003-3.141595j,0.000003-3.141591j,0.000000
-1.071130-0.239145j,-0.000003-3.141595j,0.000003-3.141591j,0.000000
-1.071145-0.239139j,-0.000003-3.141595j,0.000003-3.141591j,0.000000
-1.071159-0.239132j,-0.000003-3.141595j,0.000003-3.141591j,0.000000
-1.071174-0.239125j,-0.000003-3.141595j,0.000003-3.141591j,0.000000
-1.071188-0.239119j,-0.000003-3.141595j,0.000003-3.141591j,0.000000
-1.071202-0.239112j,-0.000003-3.141595j,0.000003-3.141591j,0.000000
-1.071217-0.239105j,-0.000003-3.141595j,0.000003-3.141591j,0.000000
-1.071231-0.239099j,-0.000003-3.141595j,0.000003-3.141591j,0.000000
-1.071245-0.239092j,-0.000003-3.141595j,0.000003-3.141591j,0.000000
-1.071260-0.239086j,-0.000003-3.141595j,0.000003-3.141591j,0.000000
-1.071274-0.239079j,-0.000003-3.141595j,0.000003-3.141591j,0.000000
-1.071288-0.239073j,-0.000003-3.141595j,0.000003-3.141591j,0.000000
-1.071302-0.239066j,-0.000003-3.141595j,0.000003-3.141591j,0.000000
-1.071316-0.239060j,-0.000003-3.141595j,0.000003-3.141591j,0.000000
-1.071330-0.239053j,-0.000003-3.141595j,0.000003-3.141591j,0.000000
-1.071345-0.239047j,-0.000003-3.141595j,0.000003-3.141591j,0.000000
-1.071359-0.239040j,-0.000003-3.141595j,0.000003-3.141591j,0.000000
-1.071373-0.239034j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.071387-0.239028j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.071400-0.239021j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.071414-0.239015j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.071428-0.239009j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.071442-0.239002j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
-1.071456-0.238996j,-0.000003-3.141595j,0.000003-3.141590j,0.000000
