-0.978923-0.248286j,-0.000002+3.141591j,0.000002+3.141594j,0.000000
-0.978940-0.248280j,-0.000002+3.141591j,0.000002+3.141594j,0.000000
-0.978957-0.248275j,-0.000002+3.141591j,0.000002+3.141594j,0.000000
-0.978974-0.248270j,-0.000002+3.141591j,0.000002+3.141594j,0.000000
-0.978991-0.248265j,-0.000002+3.141591j,0.000002+3.141594j,0.000000
-0.979007-0.248259j,-0.000002+3.141591j,0.000002+3.141594j,0.000000
-0.979024-0.248254j,-0.000002+3.141591j,0.000002+3.141594j,0.000000
-0.979040-0.248249j,-0.000002+3.141591j,0.000002+3.141594j,0.000000
-0.979057-0.248244j,-0.000002+3.141591j,0.000002+3.141594j,0.000000
-0.979073-0.248239j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979090-0.248234j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979106-0.248229j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979122-0.248224j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979139-0.248219j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979155-0.248214j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979171-0.248209j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979187-0.248204j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979203-0.248199j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979219-0.248194j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979234-0.248189j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979250-0.248184j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979266-0.248179j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979282-0.248174j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979297-0.248170j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979313-0.248165j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979329-0.248160j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979344-0.248155j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979360-0.248151j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979375-0.248146j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979390-0.248141j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979406-0.248136j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979421-0.248132j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979436-0.248127j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979452-0.248122j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979467-0.248118j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
-0.979482-0.248113j,-0.000003+3.141591j,0.000003+3.141594j,0.000000
