-1.210212+0.131010j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.210193+0.131005j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.210173+0.131000j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.210153+0.130995j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.210134+0.130990j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.210114+0.130985j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.210095+0.130980j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.210076+0.130975j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.210056+0.130970j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.210037+0.130966j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.210018+0.130961j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.209999+0.130956j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.209980+0.130951j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.209961+0.130946j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.209942+0.130942j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.209923+0.130937j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.209905+0.130932j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.209886+0.130928j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.209867+0.130923j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.209849+0.130918j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.209830+0.130914j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.209812+0.130909j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.209794+0.130904j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.209775+0.130900j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.209757+0.130895j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.209739+0.130891j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
