30,13,599,16,405
31,13,599,16,405
32,13,599,16,405
33,13,599,16,405
34,13,599,16,405
35,13,599,16,405
36,13,646,20,807
37,13,547,27,682
38,14,428,15,554
39,14,428,15,554
40,14,428,15,554
41,14,428,15,554
42,14,428,15,554
43,14,428,15,554
44,14,466,18,422
45,14,407,28,677
46,15,508,20,675
47,15,611,27,799
48,16,389,18,611
49,16,445,28,442
50,18,457,22,583
51,18,735,22,621
52,19,400,21,432
53,20,416,23,366
54,20,762,23,429
55,20,825,25,436
56,20,488,25,442
57,22,681,25,426
58,22,681,25,426
59,22,681,25,426
60,22,681,25,426
61,22,681,25,426
62,22,681,25,426
63,23,445,24,708
64,23,445,24,708
65,23,445,24,708
66,23,445,24,708
67,23,445,24,708
68,23,445,24,708
69,23,465,27,475
70,23,458,27,815
71,24,598,28,482
72,24,637,28,794
73,25,354,27,419
74,25,410,27,755
75,26,415,29,413
76,13,618,48,38
77,13,646,53,66
78,13,709,56,252
79,14,444,50,31
80,15,578,45,40
81,15,692,69,266
82,15,611,73,66
83,16,420,71,41
84,18,757,50,31
85,18,428,71,136
86,18,735,73,94
87,20,807,53,66
88,20,762,71,106
89,22,681,30,49
90,22,681,30,49
91,22,681,31,53
92,22,681,31,53
93,22,649,45,80
94,22,621,73,94
95,23,445,38,50
96,23,445,38,50
97,23,445,39,58
98,23,445,39,58
99,23,445,45,62
100,23,398,56,289
101,23,429,71,106
102,23,446,73,79
103,23,447,74,44
104,24,708,38,50
105,24,708,38,50
106,24,708,39,58
107,24,708,39,58
108,24,673,48,86
109,24,637,53,99
110,25,426,30,49
111,25,426,30,49
112,25,426,31,53
113,25,426,31,53
114,25,416,34,54
115,25,416,34,54
116,25,416,34,54
117,25,416,34,54
118,25,416,34,54
119,25,416,34,54
120,25,425,48,62
121,25,410,50,93
122,25,427,53,83
123,25,427,54,46
124,25,383,69,309
125,27,755,50,93
126,27,799,73,66
127,28,448,50,127
128,28,794,53,99
129,28,813,71,41
130,30,87,45,60
131,30,87,45,60
132,30,48,48,60
133,30,48,48,60
134,30,48,53,84
135,30,48,53,84
136,30,87,73,80
137,30,87,73,80
138,31,94,50,58
139,31,94,50,58
140,31,47,54,51
141,31,47,54,51
142,31,47,71,70
