30,12,621,17,429
31,12,621,17,429
32,12,621,17,429
33,12,621,17,429
34,12,621,17,429
35,12,621,17,429
36,12,682,19,456
37,12,682,23,676
38,12,578,25,681
39,14,470,15,569
40,14,470,15,569
41,14,470,15,569
42,14,470,15,569
43,14,470,15,569
44,14,470,15,569
45,14,472,19,465
46,14,639,22,470
47,14,491,22,633
48,14,446,24,656
49,15,523,23,632
50,15,635,25,718
51,15,635,28,459
52,17,410,22,588
53,17,620,24,504
54,17,449,24,702
55,17,431,28,470
56,19,411,22,372
57,19,456,23,676
58,19,479,24,677
59,19,487,25,474
60,20,356,21,405
61,20,606,22,427
62,20,701,22,607
63,20,701,28,484
64,22,607,28,484
65,23,451,28,493
66,24,384,28,392
67,24,448,29,616
68,25,718,28,459
69,26,412,29,339
70,12,569,45,107
71,12,641,52,49
72,12,628,55,284
73,14,464,46,87
74,14,491,61,65
75,14,454,66,322
76,14,454,66,322
77,14,454,66,322
78,14,454,66,322
79,14,454,66,322
80,14,454,66,322
81,15,578,45,295
82,15,592,48,51
83,15,516,55,118
84,17,424,53,102
85,17,416,56,299
86,17,416,56,299
87,17,416,56,299
88,17,416,56,299
89,17,416,56,299
90,17,416,56,299
91,17,449,67,69
92,19,467,40,15
93,19,467,40,15
94,19,467,41,15
95,19,467,41,15
96,19,469,45,290
97,19,475,48,33
98,19,475,48,33
99,19,475,48,33
100,19,475,48,33
101,19,475,48,33
102,19,475,48,33
103,19,462,55,64
104,22,633,61,65
105,22,470,65,132
106,22,663,65,197
107,23,707,53,134
108,23,629,56,87
109,24,504,59,157
110,24,731,59,224
111,24,702,67,69
112,25,748,46,119
113,25,678,66,96
114,28,472,30,14
115,28,472,30,14
116,28,472,34,15
117,28,467,45,62
118,28,481,52,31
119,28,481,52,31
120,28,481,52,31
121,28,481,52,31
122,28,481,52,31
123,28,481,52,31
124,28,475,55,279
125,30,40,45,30
126,30,40,45,30
127,31,29,55,32
128,31,29,55,32
129,39,29,45,30
130,39,29,45,30
131,40,43,55,32
132,40,43,55,32
133,45,102,66,92
134,45,255,66,303
135,45,281,67,100
136,48,24,66,331
137,52,62,55,49
138,52,23,56,305
139,55,113,56,84
140,55,253,56,286
141,55,272,61,95
142,61,138,66,96
143,12,628,84,24
144,14,464,83,57
145,14,464,105,87
146,14,464,108,55
147,15,578,73,26
148,17,424,70,63
149,17,424,109,102
150,17,424,113,64
151,19,469,73,20
152,19,475,76,31
153,19,475,76,31
154,23,707,70,95
155,23,707,109,134
156,23,707,113,95
157,25,748,83,90
158,25,748,105,119
159,25,748,108,87
160,28,475,84,19
161,28,481,86,27
162,28,481,86,27
163,40,43,116,31
164,40,43,116,31
165,45,298,92,22
166,48,33,76,31
167,48,33,76,31
168,52,31,86,27
169,52,31,86,27
170,52,31,120,2
171,52,31,120,2
172,55,286,114,20
173,61,109,103,199
174,61,105,117,30
175,61,141,133,18
176,61,141,133,18
177,61,141,133,18
178,61,141,133,18
179,61,141,133,18
180,61,141,133,18
181,67,110,103,31
182,67,113,117,187
183,73,29,92,22
184,75,38,83,77
185,75,38,83,77
186,75,38,105,106
187,75,38,105,106
188,75,38,108,75
189,75,38,108,75
190,84,27,114,20
191,85,38,109,122
192,85,38,109,122
193,85,38,113,83
194,85,38,113,83
195,12,628,148,24
196,12,628,149,24
197,12,628,150,24
198,15,578,144,24
199,15,578,145,26
200,15,578,146,26
201,19,469,144,19
202,19,469,145,20
203,19,469,146,20
204,28,475,148,19
205,28,475,149,19
206,28,475,150,19
207,92,22,144,27
